Street_minus_dir,State,County,Night_Severity,Total_Severity,Night_Accident_Count,Night_Severity_Ratio
I-5,WA,Cowlitz,670,1808,232,0.37057522123893805
I-5,CA,San Joaquin,5381,15669,2047,0.34341693790286554
I-5,CA,Orange,16318,48838,6428,0.3341250665465416
I-5,CA,Yolo,438,1326,171,0.33031674208144796
I-5,WA,Lewis,534,1526,188,0.34993446920052423
I-5,CA,Fresno,1177,3091,492,0.3807829181494662
I-5,CA,Glenn,384,1016,165,0.3779527559055118
I-5,CA,Merced,720,1676,327,0.4295942720763723
I-5,CA,Stanislaus,806,1949,347,0.4135454079014879
I-5,WA,Thurston,1548,4178,509,0.3705122067975108
I-5,CA,Sacramento,4309,13714,1615,0.3142044625929707
I-5,CA,San Diego,15055,51868,6144,0.29025603454924037
I-5,WA,Pierce,7548,19484,2336,0.3873947854649969
I-5,WA,King,14307,38017,4551,0.3763316411079254
I-5,WA,Snohomish,5244,13348,1638,0.3928678453700929
I-5,CA,Los Angeles,18833,47951,6864,0.392755104168839
I-5,CA,Colusa,428,1063,184,0.4026340545625588
I-5,WA,Skagit,618,1848,184,0.3344155844155844
I-5,WA,Clark,1098,2881,393,0.3811176674765706
I-5,CA,Kern,1823,4481,789,0.4068288328498103
I-5,OR,Linn,1548,4254,705,0.3638928067700987
I-5,OR,Marion,3371,8929,1531,0.37753387837383806
I-5,OR,Josephine,1822,4406,860,0.4135270086246028
I-5,OR,Jackson,3747,9609,1758,0.3899469247580393
I-5,CA,Siskiyou,1486,3334,708,0.44571085782843434
I-5,CA,Shasta,1662,4519,735,0.3677804824076123
I-5,OR,Multnomah,4472,14465,1904,0.3091600414794331
I-5,OR,Clackamas,714,2229,294,0.3203230148048452
I-5,OR,Douglas,3744,9160,1788,0.40873362445414846
I-5,WA,Whatcom,1286,3370,406,0.38160237388724033
I-5,OR,Lane,2014,5210,923,0.38656429942418424
I-5,OR,Washington,1044,3281,467,0.3181956720512039
I-5,CA,Tehama,823,2011,364,0.40924912978617606
I-5,CA,Kings,403,1012,188,0.39822134387351776
