State,County,Total_Accidents,Night_Accidents,Winter_Accidents,Night_Proportion,Winter_Proportion
GA,Muscogee,844,249,0,0.2950236966824645,0.0
SC,Allendale,336,170,0,0.5059523809523809,0.0
IA,Adair,424,173,35,0.4080188679245283,0.08254716981132075
TX,Blanco,22,5,0,0.22727272727272727,0.0
CA,San Benito,3742,1368,0,0.3655799037947622,0.0
FL,Hernando,6125,1669,0,0.27248979591836736,0.0
IL,Saint Clair,24,4,0,0.16666666666666666,0.0
DC,District Of Columbia,327,72,0,0.22018348623853212,0.0
GA,Liberty,397,135,0,0.34005037783375314,0.0
OH,Champaign,61,18,0,0.29508196721311475,0.0
NJ,Burlington,7695,2196,127,0.28538011695906434,0.01650422352176738
WA,Klickitat,308,111,10,0.36038961038961037,0.032467532467532464
CA,Lake,4613,1825,19,0.39562107088662474,0.004118794710600477
FL,Pinellas,41387,9826,0,0.23741754657259526,0.0
PA,Indiana,486,162,2,0.3333333333333333,0.00411522633744856
IA,Lee,67,14,3,0.208955223880597,0.04477611940298507
IA,Washington,69,24,5,0.34782608695652173,0.07246376811594203
IA,Worth,77,36,6,0.4675324675324675,0.07792207792207792
OH,Noble,42,14,4,0.3333333333333333,0.09523809523809523
OH,Medina,672,238,113,0.3541666666666667,0.16815476190476192
IL,Monroe,64,27,0,0.421875,0.0
MI,Ionia,242,61,33,0.25206611570247933,0.13636363636363635
VA,Prince William,16655,5462,72,0.3279495646952867,0.004323026118282798
FL,Volusia,8559,2653,0,0.30996611753709546,0.0
TX,Erath,23,4,0,0.17391304347826086,0.0
OR,Morrow,1208,548,137,0.45364238410596025,0.11341059602649006
GA,Haralson,335,132,3,0.3940298507462687,0.008955223880597015
OH,Jackson,86,27,8,0.313953488372093,0.09302325581395349
PA,Cambria,3708,1554,296,0.4190938511326861,0.07982740021574973
FL,Charlotte,2311,701,0,0.303331890956296,0.0
GA,Newton,736,303,3,0.4116847826086957,0.004076086956521739
GA,Pulaski,33,8,0,0.24242424242424243,0.0
GA,Toombs,91,22,0,0.24175824175824176,0.0
IL,Marion,119,48,3,0.40336134453781514,0.025210084033613446
WI,Rock,798,224,64,0.2807017543859649,0.08020050125313283
GA,Terrell,60,23,0,0.38333333333333336,0.0
IA,Warren,463,183,46,0.3952483801295896,0.09935205183585313
IA,Keokuk,16,4,0,0.25,0.0
IL,De Witt,26,7,4,0.2692307692307692,0.15384615384615385
CT,New Haven,15045,4862,246,0.3231638418079096,0.016350947158524427
OH,Pike,68,28,3,0.4117647058823529,0.04411764705882353
TX,Ellis,1010,287,1,0.28415841584158413,0.0009900990099009901
GA,Dougherty,314,126,0,0.4012738853503185,0.0
GA,Elbert,116,34,0,0.29310344827586204,0.0
IA,Palo Alto,28,17,0,0.6071428571428571,0.0
NY,Kings,21234,7228,124,0.34039747574644436,0.005839691061505134
OH,Wyandot,75,31,2,0.41333333333333333,0.02666666666666667
WV,Monongalia,646,264,69,0.4086687306501548,0.10681114551083591
TX,Fayette,68,16,0,0.23529411764705882,0.0
NE,Thurston,10,2,0,0.2,0.0
MI,Saint Clair,28,8,4,0.2857142857142857,0.14285714285714285
PA,Philadelphia,20233,7485,218,0.36994019670834777,0.010774477339000643
PA,Clarion,1366,539,213,0.3945827232796486,0.15592972181551976
WV,Marion,310,114,31,0.36774193548387096,0.1
FL,Glades,191,63,0,0.3298429319371728,0.0
IL,Ogle,195,73,5,0.37435897435897436,0.02564102564102564
PA,Armstrong,271,78,12,0.2878228782287823,0.04428044280442804
IL,Kane,7136,1895,236,0.265554932735426,0.033071748878923765
OH,Vinton,37,6,0,0.16216216216216217,0.0
OH,Wayne,264,79,12,0.29924242424242425,0.045454545454545456
GA,Douglas,1967,760,1,0.3863751906456533,0.0005083884087442806
MA,Plymouth,3700,966,100,0.2610810810810811,0.02702702702702703
VA,Arlington,6911,2289,30,0.331211112718854,0.0043409058023440895
WA,Pierce,15168,5948,166,0.39214135021097046,0.01094409282700422
OR,Umatilla,8551,4131,1234,0.4831013916500994,0.14431060694655595
WI,Green,50,13,0,0.26,0.0
IA,Floyd,55,20,4,0.36363636363636365,0.07272727272727272
PA,Clearfield,5057,1909,544,0.37749653945026695,0.10757366027288906
DE,New Castle,12068,3076,72,0.2548889625455751,0.005966191581040769
NY,Columbia,3089,1166,242,0.3774684363871803,0.07834250566526384
VA,Loudoun,12996,3960,62,0.3047091412742382,0.0047706986765158515
DC,District of Columbia,18302,5723,49,0.3126980657851601,0.0026773030269915854
TX,Johnson,424,155,0,0.36556603773584906,0.0
FL,Sumter,3338,978,0,0.29298981426003595,0.0
IL,Christian,8,3,0,0.375,0.0
IL,Bond,93,26,3,0.27956989247311825,0.03225806451612903
TX,Montgomery,2899,733,1,0.25284580889962055,0.00034494653328734045
WA,Adams,113,40,22,0.35398230088495575,0.19469026548672566
IL,Carroll,20,10,0,0.5,0.0
MI,Kent,27997,8057,2556,0.28778083366074936,0.09129549594599422
TX,Smith,4114,1452,14,0.35294117647058826,0.003403014098201264
