Street_minus_dir,County,State,Latitude,Longitude,Total_Severity_Score,Night_Severity_Score,Night_Accident_Count,Night_SevScore_Ratio
I-70,St. Louis County,MO,38.732767490618535,-90.36147961229167,5122,1640,448,0.32018742678641154
I-5,Lewis,WA,46.5632789800598,-122.92004058319561,1526,534,188,0.34993446920052423
I-95,Bucks,PA,40.08867143633533,-74.93548893788893,3450,1256,411,0.3640579710144928
I-84,Fairfield,CT,41.40948284357403,-73.40336098511125,2918,938,375,0.32145305003427005
I-94,Lake,IN,41.57356385662973,-87.33418449671674,1342,484,152,0.36065573770491804
I-80,Lorain,OH,41.37710752553397,-82.16219896556633,966,242,87,0.2505175983436853
US-101,Santa Barbara,CA,34.47643519667932,-119.77602373640114,9557,3179,1536,0.33263576436120124
I-35,Clarke,IA,41.03813963311825,-93.78987722173677,220,82,31,0.37272727272727274
I-94,Van Buren,MI,42.205853290950216,-85.95372772720472,1814,598,194,0.3296582138919515
I-95,Howard,MD,39.17820417533023,-76.7912143033713,4211,1626,610,0.3861315601994776
I-5,Colusa,CA,39.145307043585085,-122.12225364238473,1063,428,184,0.4026340545625588
CA-99,Stanislaus,CA,37.62110514150442,-120.98964933268523,10365,3444,1654,0.33227206946454413
I-80,San Francisco,CA,37.795611282070375,-122.3811569416501,9406,3602,1258,0.3829470550712311
US-101,San Mateo,CA,37.55985184514111,-122.29454102169535,5427,1726,799,0.31803943246729316
I-35,Hamilton,IA,42.36898582803691,-93.56964690337252,618,310,122,0.5016181229773463
I-84,Dutchess,NY,41.52693727726491,-73.88606217602388,4347,1090,393,0.2507476420519899
I-75,Montgomery,OH,39.74618849356646,-84.20519685302153,11415,2940,986,0.2575558475689882
CA-60,Riverside,CA,33.97472596138052,-117.33270295958563,27257,10028,4684,0.36790549216714974
I-95,Prince George's,MD,39.057783428143814,-76.92197868504039,4576,1846,668,0.4034090909090909
I-5,Orange,CA,33.68573404835412,-117.79291800516961,48838,16318,6428,0.3341250665465416
I-94,Cook,IL,41.82138089133628,-87.65055089955939,11980,5592,1460,0.4667779632721202
I-80,Sandusky,OH,41.39666170895523,-83.0784760671642,438,104,37,0.2374429223744292
I-75,Miami,OH,40.06393962149168,-84.21553744412698,738,250,71,0.33875338753387535
I-75,Otsego,MI,44.98978030957019,-84.68200751282642,132,26,8,0.19696969696969696
I-80,Essex,NJ,40.88828301873807,-74.29337960099923,818,184,73,0.22493887530562348
I-90,Adams,WA,47.14454288870437,-118.40552981537712,178,62,19,0.34831460674157305
I-70,Madison,IL,38.746434726605074,-89.84414068073288,602,218,48,0.36212624584717606
I-5,Sacramento,CA,38.50613112164987,-121.50668986731418,13714,4309,1615,0.3142044625929707
I-75,Hernando,FL,28.516233134661825,-82.24264325852617,836,342,123,0.4090909090909091
I-94,Wayne,MI,42.302897833092224,-83.20490219388996,12030,4349,1350,0.36151288445552787
I-95,Bergen,NJ,40.855956064842495,-73.96988279436266,6360,1976,787,0.31069182389937106
I-95,Fairfax County,VA,38.728513171568395,-77.20565025615745,13760,4176,1520,0.30348837209302326
I-20,Tarrant,TX,32.672564303267535,-97.22620777492122,10766,3488,1189,0.32398290915846184
I-20,Kaufman,TX,32.6928809985603,-96.33126830045138,1616,416,145,0.25742574257425743
I-5,Los Angeles,CA,34.08138024056962,-118.23853048825853,47951,18833,6864,0.392755104168839
I-75,Bartow,GA,34.192947679994,-84.76719906643628,1676,628,169,0.3747016706443914
I-75,Collier,FL,26.219492085675466,-81.61266304644685,3876,1154,401,0.2977296181630547
I-95,Middlesex,MA,42.45499697555123,-71.19528107042274,4882,1079,382,0.22101597705858256
I-35,Guadalupe,TX,29.596680054174133,-98.28497125942259,458,134,51,0.2925764192139738
I-35,Travis,TX,30.285767228276974,-97.72769179240609,23829,7470,2636,0.3134835704393806
I-35,Comal,TX,29.68116654023974,-98.15350035114423,1221,438,138,0.35872235872235875
I-75,Charlotte,FL,26.934534656965784,-82.0093286434734,2270,824,271,0.3629955947136564
I-75,Miami-Dade,FL,25.922009265004203,-80.34723844427982,3039,840,275,0.2764067127344521
I-70,Madison,OH,39.96095554627306,-83.35099982568266,967,378,118,0.390899689762151
I-80,Contra Costa,CA,37.96832806464263,-122.30447367957164,22905,8617,3060,0.376206068543986
I-75,Broward,FL,26.051169108966544,-80.35908662323497,6333,1804,623,0.2848570977419864
I-90,Worcester,MA,42.184032243992604,-71.88136099630314,1867,536,153,0.2870915907873594
I-85,Troup,GA,33.044330041855225,-84.98060410659888,536,226,76,0.4216417910447761
I-35,Franklin,IA,42.77520836745599,-93.39380601016238,184,66,29,0.358695652173913
I-35,Decatur,IA,40.72699743598045,-93.8516569465852,264,106,34,0.4015151515151515
I-90,Schenectady,NY,42.81797301818327,-74.01810786409466,1116,400,161,0.35842293906810035
I-75,Bay,MI,43.68197490298613,-83.98333614707576,440,84,21,0.19090909090909092
I-70,Guernsey,OH,40.01582125000001,-81.50929870833333,400,190,56,0.475
US-101,Santa Clara,CA,37.35170729824003,-121.9326987771334,9396,2912,1384,0.30991911451681564
US-101,Mendocino,CA,39.36614611924361,-123.3458991123105,515,192,91,0.37281553398058254
I-75,Fulton,GA,33.76325580983653,-84.39527644242536,20819,6677,1856,0.3207166530573034
I-70,Effingham,IL,39.11173600607443,-88.55848269825914,404,100,24,0.24752475247524752
I-35,Hill,TX,31.975260787096776,-97.09989418096774,116,12,3,0.10344827586206896
I-75,Henry,GA,33.475008905384634,-84.21611842780143,5035,1792,519,0.3559086395233366
I-85,Fulton,GA,33.7253619682004,-84.41724800935503,3029,1293,474,0.42687355562892043
I-95,Broward,FL,26.123193332842117,-80.15601466459984,60201,20315,7086,0.3374528662314579
I-75,Cobb,GA,33.94946402678172,-84.51096334366214,7097,2211,642,0.3115400873608567
I-94,Kalamazoo,MI,42.25579888879028,-85.5263569289467,3212,1008,335,0.3138231631382316
I-405,Orange,CA,33.71146029490776,-117.93422031568247,29434,8657,3224,0.2941156485696813
I-95,Brevard,FL,28.24377021654343,-80.73604799060097,10534,3365,1192,0.3194418074805392
I-80,LaGrange,IN,41.75127711111111,-85.40846937777779,256,84,29,0.328125
I-80,Dallas,IA,41.55639408823541,-93.93971066516612,1865,670,246,0.35924932975871315
I-75,Oakland,MI,42.71353331390527,-83.37694804827518,218,100,35,0.45871559633027525
I-5,Snohomish,WA,47.94794900904502,-122.22947549701561,13348,5244,1638,0.3928678453700929
I-35,Cerro Gordo,IA,43.09889966297962,-93.34880755990875,176,94,25,0.5340909090909091
I-5,Thurston,WA,47.00640815686998,-122.85706208177555,4178,1548,509,0.3705122067975108
I-75,Monroe,GA,33.04045153502245,-83.91661850019705,1102,296,87,0.26860254083484575
I-75,Crawford,MI,44.66332577526487,-84.70621589231231,148,50,12,0.33783783783783783
I-70,Franklin,OH,39.95676975650671,-83.02542034189132,4972,1388,428,0.27916331456154464
US-101,Sonoma,CA,38.4035161527317,-122.72139446268413,3815,1051,505,0.2754914809960681
I-15,San Bernardino,CA,34.20343673564474,-117.46278343732892,23244,9426,3685,0.4055240061951471
I-75,Bibb,GA,32.8250698455977,-83.68038306466381,1730,482,145,0.2786127167630058
I-75,Roscommon,MI,44.3947382274587,-84.56432833573813,118,20,7,0.1694915254237288
I-75,Shelby,OH,40.34688347991342,-84.17388741696968,726,252,96,0.34710743801652894
I-70,St. Louis City,MO,38.67448049762471,-90.21924068052256,3170,916,235,0.2889589905362776
I-80,St. Joseph,IN,41.7307535652174,-86.27628886956519,214,86,19,0.40186915887850466
I-90,Cook,IL,41.93994455776028,-87.77956257155371,19198,7815,2131,0.4070736535055735
I-5,Glenn,CA,39.613685310324726,-122.20500562114842,1016,384,165,0.3779527559055118
I-70,Frederick,MD,39.45552021823627,-77.50225430458336,4800,1226,482,0.2554166666666667
I-70,Washington,PA,40.13845002397651,-80.20444276294542,2226,792,243,0.3557951482479784
I-95,New London,CT,41.370974743842375,-72.05157836971101,2274,632,197,0.27792436235708
I-90,Hampden,MA,42.16605535893501,-72.60230875919449,704,156,46,0.2215909090909091
I-20,Smith,TX,32.46260164645161,-95.3182364362903,230,36,9,0.1565217391304348
I-75,Lamar,GA,33.17848553963683,-84.04710468010495,164,56,17,0.34146341463414637
I-95,Cecil,MD,39.616174608781506,-75.97637320713834,3739,1306,487,0.3492912543460818
I-75,Clayton,GA,33.60336426125315,-84.37812185238681,2645,1157,316,0.4374291115311909
